Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,Pressure
2012,1,1,0,30,63.98,8,950
2012,1,1,1,30,49.59,6,950
2012,1,1,2,30,46.28,4,950
2012,1,1,3,30,52.89,3,960
2012,1,1,4,30,62.81,3,960
2012,1,1,5,30,66.53,2,960
2012,1,1,6,30,73.31,1,960
2012,1,1,7,30,69.44,2,960
2012,1,1,8,30,60.82,4,960
2012,1,1,9,30,46.52,7,960
2012,1,1,10,30,32.71,10,960
2012,1,1,11,30,28.33,12,960
2012,1,1,12,30,25.48,13,960
2012,1,1,13,30,23.57,13,960
2012,1,1,14,30,23.51,14,960
2012,1,1,15,30,25.14,13,960
2012,1,1,16,30,32.32,10,960
2012,1,1,17,30,53.37,6,960
2012,1,1,18,30,60.96,4,960
2012,1,1,19,30,64.13,3,960
2012,1,1,20,30,68.44,2,960
2012,1,1,21,30,73.54,2,960
2012,1,1,22,30,73.56,1,960
2012,1,1,23,30,78.71,0,960
2012,1,2,0,30,77.85,0,960
2012,1,2,1,30,76.41,0,960
2012,1,2,2,30,74.53,0,960
2012,1,2,3,30,72.71,0,960
2012,1,2,4,30,76.56,0,960
2012,1,2,5,30,75.22,-1,960
2012,1,2,6,30,74.1,-1,960
2012,1,2,7,30,68.27,0,960
2012,1,2,8,30,60.99,2,970
2012,1,2,9,30,45.74,6,970
2012,1,2,10,30,32.75,9,970
2012,1,2,11,30,26.74,11,970
2012,1,2,12,30,24.8,12,960
2012,1,2,13,30,22.88,13,960
2012,1,2,14,30,22.48,13,960
2012,1,2,15,30,23.83,12,960
2012,1,2,16,30,32.38,10,960
2012,1,2,17,30,46.19,8,960
2012,1,2,18,30,50.76,6,960
2012,1,2,19,30,58.44,4,960
2012,1,2,20,30,62,3,960
2012,1,2,21,30,65.87,2,960
2012,1,2,22,30,70.25,1,960
2012,1,2,23,30,74.73,1,960
2012,1,3,0,30,73.75,0,960
2012,1,3,1,30,72.79,0,960
2012,1,3,2,30,71.73,0,960
2012,1,3,3,30,70.36,0,960
2012,1,3,4,30,68.78,0,960
2012,1,3,5,30,67.08,0,960
2012,1,3,6,30,70.41,0,960
2012,1,3,7,30,64.31,1,960
2012,1,3,8,30,48.92,4,960
2012,1,3,9,30,35.9,8,960
2012,1,3,10,30,27.03,11,960
2012,1,3,11,30,22.27,13,960
2012,1,3,12,30,21.63,14,950
2012,1,3,13,30,21.57,15,950
2012,1,3,14,30,24.21,15,950
2012,1,3,15,30,26.61,14,950
2012,1,3,16,30,31.33,11,950
2012,1,3,17,30,45.99,8,950
2012,1,3,18,30,49.67,6,950
2012,1,3,19,30,51.36,6,950
2012,1,3,20,30,50.11,5,950
2012,1,3,21,30,53.58,5,950
2012,1,3,22,30,54.34,4,950
2012,1,3,23,30,55.29,4,950
2012,1,4,0,30,59.76,4,950
2012,1,4,1,30,59.55,3,950
2012,1,4,2,30,59.22,3,950
2012,1,4,3,30,59.46,3,950
2012,1,4,4,30,64.99,3,950
2012,1,4,5,30,66.75,2,950
2012,1,4,6,30,74.01,2,950
2012,1,4,7,30,71.24,3,950
2012,1,4,8,30,61.36,6,950
2012,1,4,9,30,48.43,8,950
2012,1,4,10,30,42.8,11,950
2012,1,4,11,30,41.68,13,950
2012,1,4,12,30,37.28,14,950
2012,1,4,13,30,35.2,15,950
2012,1,4,14,30,35.19,16,950
2012,1,4,15,30,34.98,15,950
2012,1,4,16,30,44.89,12,950
2012,1,4,17,30,67.57,9,950
2012,1,4,18,30,74.55,7,950
2012,1,4,19,30,78.62,6,950
2012,1,4,20,30,78.06,5,950
2012,1,4,21,30,83.05,4,950
2012,1,4,22,30,88.28,4,950
2012,1,4,23,30,87.17,3,950
2012,1,5,0,30,92.09,3,950
2012,1,5,1,30,90.49,2,950
2012,1,5,2,30,88.88,2,950
2012,1,5,3,30,93.9,2,950
2012,1,5,4,30,92.51,2,950
2012,1,5,5,30,91.35,2,950
2012,1,5,6,30,90.7,2,950
2012,1,5,7,30,78.6,3,950
2012,1,5,8,30,70.88,6,950
2012,1,5,9,30,52.57,10,950
2012,1,5,10,30,43.53,14,950
2012,1,5,11,30,41.81,16,950
2012,1,5,12,30,41.98,17,950
2012,1,5,13,30,44.3,17,950
2012,1,5,14,30,46.2,17,950
2012,1,5,15,30,50.88,16,950
2012,1,5,16,30,69.35,13,950
2012,1,5,17,30,82.45,11,950
2012,1,5,18,30,87.11,9,950
2012,1,5,19,30,90.73,8,950
2012,1,5,20,30,96.71,7,950
2012,1,5,21,30,96.95,7,950
2012,1,5,22,30,100,7,950
2012,1,5,23,30,100,7,950
2012,1,6,0,30,100,6,950
2012,1,6,1,30,100,6,950
2012,1,6,2,30,100,5,950
2012,1,6,3,30,100,5,940
2012,1,6,4,30,100,5,940
2012,1,6,5,30,100,4,940
2012,1,6,6,30,100,4,940
2012,1,6,7,30,90.84,5,940
2012,1,6,8,30,71.81,8,940
2012,1,6,9,30,53.88,12,940
2012,1,6,10,30,39.32,16,940
2012,1,6,11,30,28.02,19,940
2012,1,6,12,30,24.23,20,940
2012,1,6,13,30,22,21,940
2012,1,6,14,30,23.12,21,940
2012,1,6,15,30,24.81,20,940
2012,1,6,16,30,35.57,16,940
2012,1,6,17,30,51.9,12,940
2012,1,6,18,30,60.5,11,940
2012,1,6,19,30,62.69,10,940
2012,1,6,20,30,69.55,9,940
2012,1,6,21,30,76.47,8,940
2012,1,6,22,30,83.4,8,940
2012,1,6,23,30,84.67,7,940
2012,1,7,0,30,91.49,6,940
2012,1,7,1,30,100,5,940
2012,1,7,2,30,99.59,4,940
2012,1,7,3,30,92.35,4,940
2012,1,7,4,30,84.54,4,940
2012,1,7,5,30,84.21,3,940
2012,1,7,6,30,80.81,3,940
2012,1,7,7,30,78.13,3,940
2012,1,7,8,30,65.81,5,950
2012,1,7,9,30,52.61,8,950
2012,1,7,10,30,44.39,11,950
2012,1,7,11,30,40.31,13,950
2012,1,7,12,30,38.54,15,940
2012,1,7,13,30,36.07,16,940
2012,1,7,14,30,33.36,16,940
2012,1,7,15,30,35.1,15,940
2012,1,7,16,30,44.77,13,940
2012,1,7,17,30,66.54,11,940
2012,1,7,18,30,60.63,10,940
2012,1,7,19,30,62.98,9,940
2012,1,7,20,30,62.67,8,940
2012,1,7,21,30,69.88,8,940
2012,1,7,22,30,73.64,7,940
2012,1,7,23,30,79.69,7,940
2012,1,8,0,30,79.84,6,940
2012,1,8,1,30,85.12,6,940
2012,1,8,2,30,83.15,5,940
2012,1,8,3,30,83.65,5,940
2012,1,8,4,30,84.37,5,940
2012,1,8,5,30,85.23,5,940
2012,1,8,6,30,92.2,5,940
2012,1,8,7,30,86.62,6,940
2012,1,8,8,30,76.83,8,940
2012,1,8,9,30,68.59,10,940
2012,1,8,10,30,60.84,12,940
2012,1,8,11,30,66.33,13,940
2012,1,8,12,30,66.86,14,940
2012,1,8,13,30,68.46,15,940
2012,1,8,14,30,65.48,15,940
2012,1,8,15,30,71.46,14,940
2012,1,8,16,30,85.12,13,940
2012,1,8,17,30,100,11,940
2012,1,8,18,30,98.24,10,940
2012,1,8,19,30,100,9,940
2012,1,8,20,30,100,9,940
2012,1,8,21,30,100,8,940
2012,1,8,22,30,100,7,940
2012,1,8,23,30,100,7,940
2012,1,9,0,30,99.37,7,940
2012,1,9,1,30,98.99,7,940
2012,1,9,2,30,100,7,940
2012,1,9,3,30,100,6,940
2012,1,9,4,30,100,5,940
2012,1,9,5,30,100,5,940
2012,1,9,6,30,100,4,950
2012,1,9,7,30,99.21,4,950
2012,1,9,8,30,97.55,4,950
2012,1,9,9,30,92.55,6,950
2012,1,9,10,30,83.8,7,950
2012,1,9,11,30,81.73,8,940
2012,1,9,12,30,78.91,9,940
2012,1,9,13,30,85.03,8,940
2012,1,9,14,30,89.35,7,940
2012,1,9,15,30,92.52,6,950
2012,1,9,16,30,95.1,5,950
2012,1,9,17,30,96.7,4,950
2012,1,9,18,30,97.53,3,950
2012,1,9,19,30,92.32,3,950
2012,1,9,20,30,95.08,2,950
2012,1,9,21,30,92.56,2,950
2012,1,9,22,30,98.18,2,950
2012,1,9,23,30,97.92,1,950
2012,1,10,0,30,97.47,1,950
2012,1,10,1,30,100,0,950
2012,1,10,2,30,100,0,950
2012,1,10,3,30,99.71,0,940
2012,1,10,4,30,99.01,0,940
2012,1,10,5,30,98.88,0,940
2012,1,10,6,30,98.65,0,940
2012,1,10,7,30,97.54,1,940
2012,1,10,8,30,79.24,3,940
2012,1,10,9,30,61.76,7,940
2012,1,10,10,30,46.6,10,940
2012,1,10,11,30,38.56,12,940
2012,1,10,12,30,32.46,13,940
2012,1,10,13,30,29.85,13,940
2012,1,10,14,30,26.94,13,940
2012,1,10,15,30,26.87,13,940
2012,1,10,16,30,32.05,11,940
2012,1,10,17,30,49.71,8,940
2012,1,10,18,30,56.09,6,940
2012,1,10,19,30,60.4,5,940
2012,1,10,20,30,60.35,5,940
2012,1,10,21,30,64.24,4,940
2012,1,10,22,30,64.43,4,940
2012,1,10,23,30,70.05,4,940
2012,1,11,0,30,71.44,3,940
2012,1,11,1,30,72.74,3,940
2012,1,11,2,30,78.74,3,940
2012,1,11,3,30,78.69,3,940
2012,1,11,4,30,78.47,3,940
2012,1,11,5,30,78.25,3,940
2012,1,11,6,30,78.14,3,940
2012,1,11,7,30,72.71,4,940
2012,1,11,8,30,55.69,7,940
2012,1,11,9,30,44.46,11,940
2012,1,11,10,30,37.09,15,940
2012,1,11,11,30,30.47,18,940
2012,1,11,12,30,26.46,20,940
2012,1,11,13,30,24.14,21,930
2012,1,11,14,30,23.48,21,930
2012,1,11,15,30,25.07,20,930
2012,1,11,16,30,32.66,17,940
2012,1,11,17,30,46,13,940
2012,1,11,18,30,53.54,11,940
2012,1,11,19,30,61.99,9,940
2012,1,11,20,30,70.46,7,940
2012,1,11,21,30,76.92,6,940
2012,1,11,22,30,81.18,4,940
2012,1,11,23,30,80.48,2,940
2012,1,12,0,30,79.9,1,940
2012,1,12,1,30,80.14,0,950
2012,1,12,2,30,75.23,0,950
2012,1,12,3,30,70.54,0,950
2012,1,12,4,30,64.9,0,950
2012,1,12,5,30,58.52,0,950
2012,1,12,6,30,57.08,-1,950
2012,1,12,7,30,49.34,0,950
2012,1,12,8,30,44.58,0,950
2012,1,12,9,30,36.45,0,950
2012,1,12,10,30,31.26,1,950
2012,1,12,11,30,28.43,3,950
2012,1,12,12,30,25.27,4,950
2012,1,12,13,30,22.3,5,950
2012,1,12,14,30,20.47,5,950
2012,1,12,15,30,20.74,5,950
2012,1,12,16,30,25.56,4,950
2012,1,12,17,30,48.4,1,950
2012,1,12,18,30,56.43,0,950
2012,1,12,19,30,52,0,950
2012,1,12,20,30,50.44,0,950
2012,1,12,21,30,49.85,0,950
2012,1,12,22,30,55.6,0,950
2012,1,12,23,30,53.48,0,950
2012,1,13,0,30,54.27,0,950
2012,1,13,1,30,56.07,0,950
2012,1,13,2,30,61.38,0,950
2012,1,13,3,30,60.9,-1,950
2012,1,13,4,30,62.15,-1,950
2012,1,13,5,30,63.7,-1,950
2012,1,13,6,30,64.98,-1,950
2012,1,13,7,30,62.03,0,950
2012,1,13,8,30,53.25,2,950
2012,1,13,9,30,38.92,5,950
2012,1,13,10,30,23.07,8,950
2012,1,13,11,30,18.6,10,950
2012,1,13,12,30,19.38,11,950
2012,1,13,13,30,20.98,12,950
2012,1,13,14,30,23.78,12,950
2012,1,13,15,30,27.89,11,950
2012,1,13,16,30,36.63,9,950
2012,1,13,17,30,62.17,6,950
2012,1,13,18,30,63.45,4,950
2012,1,13,19,30,71.35,3,950
2012,1,13,20,30,74.4,2,950
2012,1,13,21,30,71.84,1,950
2012,1,13,22,30,74.27,1,950
2012,1,13,23,30,71.76,0,950
2012,1,14,0,30,69.69,0,950
2012,1,14,1,30,68.01,0,950
2012,1,14,2,30,66.81,0,950
2012,1,14,3,30,66.18,0,950
2012,1,14,4,30,70.99,0,950
2012,1,14,5,30,70.84,-1,950
2012,1,14,6,30,70.88,-1,950
2012,1,14,7,30,66.65,0,950
2012,1,14,8,30,57.02,3,950
2012,1,14,9,30,44.34,7,950
2012,1,14,10,30,36.43,11,950
2012,1,14,11,30,29.2,14,950
2012,1,14,12,30,26.78,16,950
2012,1,14,13,30,24.57,17,950
2012,1,14,14,30,22.75,17,950
2012,1,14,15,30,24.13,16,950
2012,1,14,16,30,44.88,12,950
2012,1,14,17,30,64.91,8,950
2012,1,14,18,30,62.83,6,950
2012,1,14,19,30,63.52,5,950
2012,1,14,20,30,64.26,4,950
2012,1,14,21,30,61.39,4,950
2012,1,14,22,30,63.85,4,950
2012,1,14,23,30,62.79,4,950
2012,1,15,0,30,62.1,3,950
2012,1,15,1,30,66.75,2,950
2012,1,15,2,30,72.64,2,950
2012,1,15,3,30,74.61,1,950
2012,1,15,4,30,78.31,1,950
2012,1,15,5,30,83.44,2,950
2012,1,15,6,30,83.08,2,950
2012,1,15,7,30,82.58,3,950
2012,1,15,8,30,72.5,6,950
2012,1,15,9,30,62.35,10,950
2012,1,15,10,30,61.63,13,950
2012,1,15,11,30,59.48,15,950
2012,1,15,12,30,59.35,16,950
2012,1,15,13,30,57.43,17,950
2012,1,15,14,30,62.42,16,950
2012,1,15,15,30,67.73,15,950
2012,1,15,16,30,74.71,14,950
2012,1,15,17,30,89.89,12,950
2012,1,15,18,30,100,11,950
2012,1,15,19,30,100,11,950
2012,1,15,20,30,100,11,950
2012,1,15,21,30,100,12,950
2012,1,15,22,30,100,12,950
2012,1,15,23,30,100,12,950
2012,1,16,0,30,100,12,950
2012,1,16,1,30,100,13,950
2012,1,16,2,30,100,12,950
2012,1,16,3,30,100,12,950
2012,1,16,4,30,100,12,950
2012,1,16,5,30,100,12,950
2012,1,16,6,30,100,12,950
2012,1,16,7,30,100,12,950
2012,1,16,8,30,99.66,13,950
2012,1,16,9,30,90.86,15,950
2012,1,16,10,30,79.56,18,950
2012,1,16,11,30,62.43,20,950
2012,1,16,12,30,54.59,22,940
2012,1,16,13,30,47.42,23,940
2012,1,16,14,30,41.07,23,940
2012,1,16,15,30,41.5,22,940
2012,1,16,16,30,52.54,20,940
2012,1,16,17,30,71.05,17,940
2012,1,16,18,30,77.82,15,940
2012,1,16,19,30,87.43,14,940
2012,1,16,20,30,95.76,14,940
2012,1,16,21,30,96.04,13,940
2012,1,16,22,30,100,13,940
2012,1,16,23,30,100,12,940
2012,1,17,0,30,100,11,940
2012,1,17,1,30,100,10,940
2012,1,17,2,30,100,10,940
2012,1,17,3,30,100,9,940
2012,1,17,4,30,100,9,940
2012,1,17,5,30,100,9,950
2012,1,17,6,30,92.56,8,950
2012,1,17,7,30,78.79,9,950
2012,1,17,8,30,61.08,12,950
2012,1,17,9,30,53.79,15,950
2012,1,17,10,30,43.34,16,950
2012,1,17,11,30,40.01,17,950
2012,1,17,12,30,35.99,17,950
2012,1,17,13,30,36.97,16,950
2012,1,17,14,30,38.17,16,950
2012,1,17,15,30,39.38,15,950
2012,1,17,16,30,43.29,12,950
2012,1,17,17,30,55.34,9,950
2012,1,17,18,30,60.29,7,950
2012,1,17,19,30,58.39,6,950
2012,1,17,20,30,63.37,5,950
2012,1,17,21,30,64.41,4,950
2012,1,17,22,30,65.53,2,950
2012,1,17,23,30,67.29,2,950
2012,1,18,0,30,65.32,1,950
2012,1,18,1,30,69.2,1,950
2012,1,18,2,30,68.92,0,950
2012,1,18,3,30,69.48,0,950
2012,1,18,4,30,71.07,0,950
2012,1,18,5,30,73.11,0,950
2012,1,18,6,30,74.48,0,950
2012,1,18,7,30,75.04,0,950
2012,1,18,8,30,56.33,2,950
2012,1,18,9,30,41.03,6,950
2012,1,18,10,30,32.88,10,950
2012,1,18,11,30,28.97,14,950
2012,1,18,12,30,29.63,17,950
2012,1,18,13,30,31.53,18,950
2012,1,18,14,30,32.1,19,950
2012,1,18,15,30,35.51,18,950
2012,1,18,16,30,48.72,14,950
2012,1,18,17,30,74.68,10,950
2012,1,18,18,30,75,9,950
2012,1,18,19,30,75.84,8,950
2012,1,18,20,30,73,7,950
2012,1,18,21,30,70.43,7,940
2012,1,18,22,30,68.83,7,940
2012,1,18,23,30,73.05,7,940
2012,1,19,0,30,73.56,6,940
2012,1,19,1,30,75.48,6,940
2012,1,19,2,30,84.24,6,940
2012,1,19,3,30,87.85,5,940
2012,1,19,4,30,90.88,5,940
2012,1,19,5,30,93.26,5,940
2012,1,19,6,30,94.7,5,940
2012,1,19,7,30,89.02,6,940
2012,1,19,8,30,73.45,10,940
2012,1,19,9,30,56.84,14,940
2012,1,19,10,30,40.3,18,940
2012,1,19,11,30,28.57,21,940
2012,1,19,12,30,21.28,23,940
2012,1,19,13,30,18.63,24,940
2012,1,19,14,30,18.75,24,940
2012,1,19,15,30,21.21,23,940
2012,1,19,16,30,39.84,19,940
2012,1,19,17,30,59.54,15,940
2012,1,19,18,30,59.5,13,940
2012,1,19,19,30,55.14,12,940
